AnGamGeneStableID	AnGamTranscriptstableID	AnFunGeneStableID	AnFunTranscriptStableID	GeneName	GeneClass
AGAP001440	AGAP001440-RB	AFUN019447	AFUN019447-RA	Wingless	Wingless
AGAP001440	AGAP001440-RA	AFUN019447	AFUN019447-RA	Wingless	Wingless
AGAP003215	AGAP003215-RA	AFUN019712	AFUN019712-RA	Wingless	Wingless
AGAP003216	AGAP003216-RA	AFUN019712	AFUN019712-RA	Wingless	Wingless
AGAP004443	AGAP004443-RB	AFUN019972	AFUN019972-RC	Wingless	Wingless
AGAP004443	AGAP004443-RA	AFUN019972	AFUN019972-RC	Wingless	Wingless
AGAP009348	AGAP009348-RA	AFUN020419	AFUN020419-RA	Wingless	Wingless
AGAP007243	AGAP007243-RA	AFUN020990	AFUN020990-RA	Wingless	Wingless
AGAP011444	AGAP011444-RA	AFUN021508	AFUN021508-RA	Wingless	Wingless
AGAP012608	AGAP012608-RA	AFUN021508	AFUN021508-RA	Wingless	Wingless
AGAP005540	AGAP005540-RA	AFUN021800	AFUN021800-RA	Wingless	Wingless
AGAP004448	AGAP004448-RA	AFUN022036	AFUN022036-RA	Wingless	Wingless
AGAP001651	AGAP001651-RA	AFUN022316	AFUN022316-RA	Wingless	Wingless
AGAP012389	AGAP012389-RA			Wingless	Wingless
AGAP004598	AGAP004598-RA	AFUN004557	AFUN004557-RA	Vitamin B6 metabolism	Vitamin B6 metabolism
AGAP004598	AGAP004598-RA	AFUN004557	AFUN004557-RA	Vitamin B6 metabolism	Vitamin B6 metabolism
AGAP002227	AGAP002227-RA	AFUN005532	AFUN005532-RA	Vitamin B6 metabolism	Vitamin B6 metabolism
AGAP002227	AGAP002227-RA	AFUN005532	AFUN005532-RA	Vitamin B6 metabolism	Vitamin B6 metabolism
AGAP002841	AGAP002841-RB	AFUN008343	AFUN008343-RA	Vitamin B6 metabolism	Vitamin B6 metabolism
AGAP002841	AGAP002841-RA	AFUN008343	AFUN008343-RA	Vitamin B6 metabolism	Vitamin B6 metabolism
AGAP002841	AGAP002841-RB	AFUN008343	AFUN008343-RA	Vitamin B6 metabolism	Vitamin B6 metabolism
AGAP002841	AGAP002841-RA	AFUN008343	AFUN008343-RA	Vitamin B6 metabolism	Vitamin B6 metabolism
AGAP005929	AGAP005929-RA	AFUN016675	AFUN016675-RA	Vitamin B6 metabolism	Vitamin B6 metabolism
AGAP005929	AGAP005929-RA	AFUN016675	AFUN016675-RA	Vitamin B6 metabolism	Vitamin B6 metabolism
AGAP005929	AGAP005929-RA	AFUN016675	AFUN016675-RA	Vitamin B6 metabolism	Vitamin B6 metabolism
AGAP005929	AGAP005929-RA	AFUN016675	AFUN016675-RA	Vitamin B6 metabolism	Vitamin B6 metabolism
AGAP010056	AGAP010056-RA	AFUN000104	AFUN000104-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP010056	AGAP010056-RA	AFUN000104	AFUN000104-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP005347	AGAP005347-RA	AFUN000400	AFUN000400-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP005347	AGAP005347-RA	AFUN000400	AFUN000400-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP005347	AGAP005347-RA	AFUN000400	AFUN000400-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP005381	AGAP005381-RA	AFUN000429	AFUN000429-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP005381	AGAP005381-RC	AFUN000429	AFUN000429-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP005381	AGAP005381-RB	AFUN000429	AFUN000429-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP005381	AGAP005381-RA	AFUN000429	AFUN000429-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP005381	AGAP005381-RC	AFUN000429	AFUN000429-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP005381	AGAP005381-RB	AFUN000429	AFUN000429-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP005381	AGAP005381-RA	AFUN000429	AFUN000429-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP005381	AGAP005381-RC	AFUN000429	AFUN000429-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP005381	AGAP005381-RB	AFUN000429	AFUN000429-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP005381	AGAP005381-RA	AFUN000429	AFUN000429-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP005381	AGAP005381-RC	AFUN000429	AFUN000429-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP005381	AGAP005381-RB	AFUN000429	AFUN000429-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP007080	AGAP007080-RA	AFUN001100	AFUN001100-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP007080	AGAP007080-RA	AFUN001100	AFUN001100-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP006383	AGAP006383-RA	AFUN001446	AFUN001446-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP006383	AGAP006383-RA	AFUN001446	AFUN001446-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP000102	AGAP000102-RA	AFUN001733	AFUN001733-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP000102	AGAP000102-RA	AFUN001733	AFUN001733-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP010174	AGAP010174-RA	AFUN002223	AFUN002223-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP010174	AGAP010174-RA	AFUN002223	AFUN002223-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003461	AGAP003461-RA	AFUN002345	AFUN002345-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003461	AGAP003461-RA	AFUN002345	AFUN002345-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003461	AGAP003461-RA	AFUN002345	AFUN002345-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003884	AGAP003884-RB	AFUN003661	AFUN003661-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003884	AGAP003884-RA	AFUN003661	AFUN003661-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003884	AGAP003884-RB	AFUN003661	AFUN003661-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003884	AGAP003884-RA	AFUN003661	AFUN003661-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003884	AGAP003884-RB	AFUN003661	AFUN003661-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003884	AGAP003884-RA	AFUN003661	AFUN003661-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003884	AGAP003884-RB	AFUN003661	AFUN003661-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003884	AGAP003884-RA	AFUN003661	AFUN003661-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003191	AGAP003191-RA	AFUN003767	AFUN003767-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003191	AGAP003191-RA	AFUN003767	AFUN003767-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP007168	AGAP007168-RA	AFUN003937	AFUN003937-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP007168	AGAP007168-RA	AFUN003937	AFUN003937-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP007168	AGAP007168-RA	AFUN003937	AFUN003937-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP007638	AGAP007638-RA	AFUN005027	AFUN005027-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP007638	AGAP007638-RA	AFUN005027	AFUN005027-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP007638	AGAP007638-RA	AFUN005027	AFUN005027-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP012453	AGAP012453-RA	AFUN006856	AFUN006856-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP012453	AGAP012453-RA	AFUN006856	AFUN006856-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP012453	AGAP012453-RA	AFUN006856	AFUN006856-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP012453	AGAP012453-RA	AFUN006856	AFUN006856-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP011324	AGAP011324-RA	AFUN007121	AFUN007121-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP011324	AGAP011324-RA	AFUN007121	AFUN007121-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP000434	AGAP000434-RA	AFUN007584	AFUN007584-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP000434	AGAP000434-RA	AFUN007584	AFUN007584-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP008491	AGAP008491-RA	AFUN008894	AFUN008894-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP008491	AGAP008491-RA	AFUN008894	AFUN008894-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP001232	AGAP001232-RA	AFUN009171	AFUN009171-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP001232	AGAP001232-RA	AFUN009171	AFUN009171-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP012440	AGAP012440-RA	AFUN010060	AFUN010060-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP012440	AGAP012440-RA	AFUN010060	AFUN010060-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP010010	AGAP010010-RA	AFUN010702	AFUN010702-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP010010	AGAP010010-RA	AFUN010702	AFUN010702-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP010010	AGAP010010-RA	AFUN010702	AFUN010702-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP010010	AGAP010010-RA	AFUN010702	AFUN010702-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP004270	AGAP004270-RA	AFUN010885	AFUN010885-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP004270	AGAP004270-RA	AFUN010885	AFUN010885-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP004397	AGAP004397-RA	AFUN016047	AFUN016047-RB	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP004397	AGAP004397-RB	AFUN016047	AFUN016047-RB	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP004397	AGAP004397-RA	AFUN016047	AFUN016047-RB	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP004397	AGAP004397-RB	AFUN016047	AFUN016047-RB	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP004397	AGAP004397-RA	AFUN016047	AFUN016047-RB	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP004397	AGAP004397-RB	AFUN016047	AFUN016047-RB	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP004020	AGAP004020-RA	AFUN016326	AFUN016326-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP004020	AGAP004020-RA	AFUN016326	AFUN016326-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP004020	AGAP004020-RA	AFUN016326	AFUN016326-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP002396	AGAP002396-RA	AFUN016370	AFUN016370-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP002396	AGAP002396-RA	AFUN016370	AFUN016370-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP008285	AGAP008285-RA	AFUN016452	AFUN016452-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP008285	AGAP008285-RA	AFUN016452	AFUN016452-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP008285	AGAP008285-RA	AFUN016452	AFUN016452-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP004781	AGAP004781-RA	AFUN018538	AFUN018538-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP004781	AGAP004781-RA	AFUN018538	AFUN018538-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP000558	AGAP000558-RB	AFUN020899	AFUN020899-RB	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP000558	AGAP000558-RA	AFUN020899	AFUN020899-RB	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP000558	AGAP000558-RB	AFUN020899	AFUN020899-RB	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP000558	AGAP000558-RA	AFUN020899	AFUN020899-RB	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP000558	AGAP000558-RB	AFUN020899	AFUN020899-RB	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP000558	AGAP000558-RA	AFUN020899	AFUN020899-RB	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP000558	AGAP000558-RB	AFUN020899	AFUN020899-RB	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP000558	AGAP000558-RA	AFUN020899	AFUN020899-RB	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP000558	AGAP000558-RB	AFUN020899	AFUN020899-RB	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP000558	AGAP000558-RA	AFUN020899	AFUN020899-RB	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP001888	AGAP001888-RA	AFUN020911	AFUN020911-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP001888	AGAP001888-RA	AFUN020911	AFUN020911-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP001888	AGAP001888-RA	AFUN020911	AFUN020911-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP000365	AGAP000365-RA	AFUN020940	AFUN020940-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP000365	AGAP000365-RA	AFUN020940	AFUN020940-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP000365	AGAP000365-RA	AFUN020940	AFUN020940-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP000365	AGAP000365-RA	AFUN020940	AFUN020940-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003697	AGAP003697-RA	AFUN021177	AFUN021177-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003697	AGAP003697-RA	AFUN021177	AFUN021177-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003699	AGAP003699-RA	AFUN021177	AFUN021177-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003699	AGAP003699-RA	AFUN021177	AFUN021177-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003699	AGAP003699-RA	AFUN021177	AFUN021177-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003601	AGAP003601-RA	AFUN021483	AFUN021483-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003601	AGAP003601-RA	AFUN021483	AFUN021483-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP004781	AGAP004781-RA	AFUN022220	AFUN022220-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP004781	AGAP004781-RA	AFUN022220	AFUN022220-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003551	AGAP003551-RA	AFUN022325	AFUN022325-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003551	AGAP003551-RA	AFUN022325	AFUN022325-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP003551	AGAP003551-RA	AFUN022325	AFUN022325-RA	Various types of N-glycan biosynthesis	Various types of N-glycan biosynthesis
AGAP010228	AGAP010228-RA	AFUN001917	AFUN001917-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP010228	AGAP010228-RA	AFUN001917	AFUN001917-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP010228	AGAP010228-RA	AFUN001917	AFUN001917-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP003414	AGAP003414-RB	AFUN002310	AFUN002310-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP003414	AGAP003414-RA	AFUN002310	AFUN002310-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP003414	AGAP003414-RB	AFUN002310	AFUN002310-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP003414	AGAP003414-RA	AFUN002310	AFUN002310-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP003414	AGAP003414-RB	AFUN002310	AFUN002310-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP003414	AGAP003414-RA	AFUN002310	AFUN002310-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP006780	AGAP006780-RA	AFUN002776	AFUN002776-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP006780	AGAP006780-RA	AFUN002776	AFUN002776-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP000549	AGAP000549-RA	AFUN003543	AFUN003543-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP000549	AGAP000549-RA	AFUN003543	AFUN003543-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP012404	AGAP012404-RA	AFUN004080	AFUN004080-RB	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP012404	AGAP012404-RB	AFUN004080	AFUN004080-RB	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP012404	AGAP012404-RA	AFUN004080	AFUN004080-RB	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP012404	AGAP012404-RB	AFUN004080	AFUN004080-RB	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP009783	AGAP009783-RA	AFUN004753	AFUN004753-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP009783	AGAP009783-RA	AFUN004753	AFUN004753-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP005662	AGAP005662-RA	AFUN004890	AFUN004890-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP005662	AGAP005662-RA	AFUN004890	AFUN004890-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP002499	AGAP002499-RA	AFUN005481	AFUN005481-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP002499	AGAP002499-RA	AFUN005481	AFUN005481-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP000011	AGAP000011-RA	AFUN005813	AFUN005813-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP000011	AGAP000011-RA	AFUN005813	AFUN005813-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP000011	AGAP000011-RA	AFUN005813	AFUN005813-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP008602	AGAP008602-RA	AFUN006650	AFUN006650-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP008602	AGAP008602-RA	AFUN006650	AFUN006650-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP008602	AGAP008602-RA	AFUN006650	AFUN006650-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP011329	AGAP011329-RA	AFUN007116	AFUN007116-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP011329	AGAP011329-RA	AFUN007116	AFUN007116-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP005581	AGAP005581-RA	AFUN007459	AFUN007459-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP005581	AGAP005581-RA	AFUN007459	AFUN007459-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP005581	AGAP005581-RA	AFUN007459	AFUN007459-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP007531	AGAP007531-RA	AFUN007785	AFUN007785-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP007531	AGAP007531-RA	AFUN007785	AFUN007785-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP001318	AGAP001318-RA	AFUN007837	AFUN007837-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP001318	AGAP001318-RA	AFUN007837	AFUN007837-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP011629	AGAP011629-RA	AFUN008584	AFUN008584-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP011629	AGAP011629-RA	AFUN008584	AFUN008584-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP009949	AGAP009949-RB	AFUN008822	AFUN008822-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP009949	AGAP009949-RA	AFUN008822	AFUN008822-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP009949	AGAP009949-RB	AFUN008822	AFUN008822-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
AGAP009949	AGAP009949-RA	AFUN008822	AFUN008822-RA	"Valine, leucine and isoleucine degradation"	"Valine, leucine and isoleucine degradation"
